genre|parent_genre|description|related_genre|popular_artist
Rock|Rock|Rock music is a genre characterized by its heavy use of electric guitars, drums, and bass. It often features powerful vocals and lyrics that touch on themes of rebellion, love, and angst. This genre has evolved over time, with sub-genres such as alternative rock, indie rock, and classic rock. Some of the defining characteristics of rock music include its high energy, catchy melodies, and memorable hooks. It has been a popular genre for decades, with bands like Imagine Dragons, Arctic Monkeys, and Queen being some of the most well-known and influential in the industry.|classic rock|Black Sabbath
Jazz|Jazz|Jazz is a genre of music that originated in the early 20th century in African American communities in the United States. It is characterized by improvisation, syncopated rhythms, and a strong emphasis on individual expression. Jazz has a rich history and has evolved over time, incorporating elements of blues, swing, bebop, and fusion. Some of the most notable figures in jazz include vocalists known for their unique phrasing and emotive delivery, as well as instrumentalists who pushed the boundaries of the genre with their technical virtuosity and innovative compositions.|jazz piano|Charles Mingus
Metal|Metal|Metal music is a genre that is characterized by its heavy and aggressive sound, often featuring distorted guitars, fast-paced drumming, and powerful vocals. It has roots in rock and roll, but has evolved over the years to include a wide range of sub-genres, including thrash, heavy, and power metal. Metal music often deals with themes of rebellion, anger, and darkness, and is known for its intense live performances.|speed metal|Anthrax
Alternative & Punk|Rock|New Zealand punk music is a high-energy, fast-paced genre that emerged in the late 1970s. It is characterized by its raw, aggressive sound and socially conscious lyrics that often address political and societal issues. The genre has evolved over the years, incorporating elements of pop, rock, and alternative music. Today, it remains a vibrant and influential part of New Zealand's music scene, with bands continuing to push the boundaries of the genre and create innovative and exciting music.|nz hardcore|Steriogram
Rock And Roll|Rock|Punk 'n' roll is a high-energy music genre that combines the rawness and rebellion of punk with the driving rhythms and catchy hooks of rock and roll. It often features distorted guitars, fast-paced drumming, and lyrics that tackle social and personal issues. This genre is characterized by its unapologetic attitude and its ability to get audiences moving and singing along.|swedish garage rock|Swingin' Utters
Blues|Blues|Blues music is a genre that originated in the African American communities of the United States in the late 19th century. It is characterized by its use of the blues scale, call-and-response patterns, and lyrics that often express feelings of sadness, loss, and hardship. The genre has influenced many other styles of music, including rock and roll, and has produced some of the most iconic musicians of all time.|traditional blues|Buddy Guy
Latin|Latin||urbano latino|Manuel Turizo
Reggae|R&B|Reggae is a music genre that originated in Jamaica in the late 1960s. It is characterized by its distinctive rhythm, which is created by a heavy bassline and off-beat guitar and keyboard accents. The lyrics often address social and political issues, as well as love and spirituality. Reggae music has a strong influence on the Rastafari movement and is known for its use of the Nyabinghi drumming style. It has gained popularity worldwide and has been embraced by many cultures.|roots reggae|Bob Andy
Pop|Pop|Pop music is a genre that blends catchy melodies, upbeat rhythms, and relatable lyrics to create songs that are easy to sing along to and appeal to a wide audience. It often incorporates elements of electronic music, hip-hop, and R&B. Pop music is known for its ability to reflect the current cultural climate and trends, and its artists often use their music to express personal experiences and emotions. The genre has evolved over time, but remains a staple in the music industry.|dance pop|Calvin Harris
Soundtrack|Easy Listening|This genre of music is often used in films and television shows to enhance the emotional impact of a scene. It typically features orchestral arrangements with a focus on melody and harmony. The music is often epic and grandiose, with a strong emphasis on creating a sense of drama and tension. It can also incorporate elements of world music and electronic music to create unique and memorable soundscapes.|orchestral soundtrack|John Powell
Bossa Nova|Jazz|Bossa nova is a Brazilian music genre that emerged in the late 1950s and early 1960s. It is characterized by its smooth, laid-back rhythms and melodies, often featuring acoustic guitars and soft percussion. The genre gained popularity worldwide in the 1960s and has since become a staple of Brazilian music. Its lyrics often focus on love, nature, and the beauty of Brazil.|mpb|Beth Carvalho
Easy Listening|Easy Listening|Easy listening music is a genre characterized by its soothing and mellow sound, often featuring smooth vocals and orchestral arrangements. This type of music is perfect for relaxation and background music, with its calming melodies and gentle rhythms. The genre is often associated with classic crooners and vocalists, who have become synonymous with the easy listening sound.|adult standards|Dean Martin
Heavy Metal|Metal||argentine heavy metal|Rata Blanca
R&B/Soul|R&B|Soul music is a genre that emerged in the 1950s and 1960s, characterized by its emotive and passionate vocal performances, often accompanied by gospel-inspired harmonies and instrumentation. It incorporates elements of R&B, blues, and gospel music, and is known for its focus on themes of love, heartbreak, and social justice. The genre has produced some of the most iconic and influential artists in music history, with its most notable figures known for their powerful and distinctive voices, as well as their ability to connect with audiences on a deep emotional level.|classic soul|The Emotions
